Name,Rarity,Role,Element,Appearance,Personality,Strengths,Weaknesses,Sprite,Splash Art 
Nerya,Common,Tank,Water,"Nerya is a serious-looking woman with long 
dark blue hair tied into a thick braid.","Calm, wise",Great magic resistance,Slow,,
Thalwen,Common,Support,Water,"A gaunt, elderly sea warlock with blue-tinted skin and 
a long, tangled gray beard. He wears tattered 
seaweed-like robes adorned with shells, 
bones, and charms tied at his belt","Cryptic, bitter, and elusive",Can weaken enemies with curses,Healing is gradual,,
Tynira,Common,Support,Electric,"A quirky young woman with messy short hair
 held back by a metal clip. 
She wears round goggles often smudged 
with soot, a worn leather apron 
over simple work clothes, and heavy gloves. 
A tool belt filled with bolts, 
coils, and screwdrivers hangs at her waist.
 She wields an
 electrified wrench that occasionally spits sparks.",Clumsy but inventive,"Provides small, random buffs
 (attack, defense, speed).

Can slightly restore allies’ energy with 
her gadgets.
Reliable as an early-game support.","Buffs are weak
 and unstable.",,
Braknor,Common,Ranged DPS,Wind,,,,,,
Nora,Common,Ranged DPS,Water,"Young waterborne marksman with short, 
tousled aqua-blue hair and sharp, focused blue eyes",Calm and calculating,Long-range water-based attacks,Poor mobility,,
Halvar,Common,Tank,Wind,"Halvar is a rugged warrior with short grey-green hair and 
a trimmed beard. He wears heavy armor composed of dull 
bronze metal and dark green leather",Quiet and enduring,"Solid physical defense for a common rarity
",No taunt or cc,,
Zeyra,Common,Melee DPS,Electric,"A lean, agile young woman with spiky golden 
hair tied in a short ponytail and sharp cyan eyes","Brash, impulsive, fiercely competitive",Fast melee strikes,"Fragile, no 
ranged tools",,
Goahn,Common,Melee DPS,Light,,,,,,
Narud,Common,Melee DPS,Water,,,,,,
Brakka,Common,Tank,Fire,"A broad-shouldered, stocky woman clad in heavy, 
scorched iron armor trimmed with gold.
and her face bears an old burn scar beneath a 
battered helmet. She wields a large rectangular 
shield and a worn furnace hammer","Blunt, dependable, pragmatic",High physical and fire resistance,"Slow 
Poor 
magic 
resistance",,
Korran,Rare,Tank,Fire,"A disciplined sentinel clad in heavy, blackened armor, 
its surface scorched and cracked with glowing embers
 seeping through the seams. He carries a massive rectangular 
shield engraved with fiery runes, its edges 
glowing as if freshly forged.",Silent and steadfast,"Excellent defense against physical attacks.
Shield skills allow him to block 
and reduce incoming damage.
Aura of heated metal weakens 
enemies’ weapons over time.","Struggles
 against
 magical or
 piercing attacks.",,
Sylvara,Rare,Ranged DPS,Wind,"A sleek and elegant harpy with a humanoid face, 
sharp features, and piercing yellow eyes.","Proud, free-spirited, and impatient.","Fast ranged attacks with 
wind-charged javelins.","Vulnerable 
to crowd 
control",,
Elyos,Rare,Tank,Light,,,,,,
